,Unnamed: 0,ID,Name,latitude,longitude,Rating,Url
0,0,ChIJRwYOAMes0kwRcDq2H7aBZ0E,Jazzercise Kingston,44.23962239999999,-76.5471006,0.0,https://maps.google.com/?cid=4712878154282580592
1,1,ChIJu9aMiQKt0kwRyfdouUPkOF4,Innertouch Fitness and Wellness center,44.220073600000006,-76.57091249999998,0.0,https://maps.google.com/?cid=6789427417785628617
2,2,ChIJmyXvdbSt0kwR2YU9oI0uflM,GoodLife Fitness Kingston Norwest Plaza,44.257847600000005,-76.57485849999998,4.1,https://maps.google.com/?cid=6016297338027214297
3,3,ChIJ_dnCklWq0kwRORQENnmLgsE,GoodLife Fitness Kingston Barrack Street,44.23314269999999,-76.4817255,3.9,https://maps.google.com/?cid=13943860749006017593
4,4,ChIJN8s9cWqr0kwRogLp6XJENw8,Beechgrove Complex Recreation Centre,44.21893439999999,-76.52094220000001,2.3,https://maps.google.com/?cid=1096420294629327522
6,6,ChIJu-l8HFuq0kwRYyKgQT6nPEI,Kingston Military Community Sports Centre,44.23669279999999,-76.4678875,4.5,https://maps.google.com/?cid=4772873590936707683
7,7,ChIJ13tZN1Gs0kwR4EEMvUbSApA,Curves International,44.2475385,-76.56911130000002,4.2,https://maps.google.com/?cid=10377087692676284896
8,8,ChIJldlFI0es0kwRM6DlMd6OeZs,Planet Fitness,44.257630999999996,-76.55535400000001,4.1,https://maps.google.com/?cid=11203142633031835699
9,9,ChIJQZLeoaer0kwREI74WP-82wA,Taylored Training Fitness Studio and Physiotherapy,44.235974,-76.49972489999998,4.3,https://maps.google.com/?cid=61850824795000336
10,10,ChIJyyaeRzOs0kwRixLpMwgS-oI,FL Sports,44.26838499999999,-76.565754,5.0,https://maps.google.com/?cid=9437875795548246667
11,11,ChIJKzoUf6qr0kwRbmGxBpm8KN4,CrossFit Queen Street,44.23353669999999,-76.4884926,5.0,https://maps.google.com/?cid=16008252240916734318
12,12,ChIJ9wHbq7Kr0kwRUSuZqeezpB0,Focus Personal Fitness Studio,44.2414266,-76.4811543,5.0,https://maps.google.com/?cid=2136029930844662609
13,13,ChIJK7W7I5ur0kwRX1A_IxG0IlU,Fit4Less,44.24313,-76.518188,3.6,https://maps.google.com/?cid=6134663628130832479
14,14,ChIJN4ffPNir0kwRhRnJSnR_buw,Curves,44.2691291,-76.47980909999998,5.0,https://maps.google.com/?cid=17036694577836792197
15,15,ChIJZUWpH_Gs0kwRdgkV3Y37mXg,Orangetheory Fitness,44.2353007,-76.56693220000001,4.7,https://maps.google.com/?cid=8690253542706186614
16,16,ChIJHbnmtFas0kwR3h-zexhACKk,24/7 Fitness Kingston,44.247625,-76.5695185,4.8,https://maps.google.com/?cid=12180055666122235870
17,17,ChIJV1GsSjqs0kwRJ6rnpYSAruM,Sensual Serenity Movement Studio,44.26672869999999,-76.5528272,4.9,https://maps.google.com/?cid=16406191799764757031
19,19,ChIJ696LDfys0kwRPMUnjPXDkeU,Foundations Training Centre,44.238149299999996,-76.57568049999998,5.0,https://maps.google.com/?cid=16542218365694362940
22,22,ChIJP1VVtqWt0kwRY9wbY-yjFns,Cataraqui Clippers' Club,44.262293299999996,-76.5224235,0.0,https://maps.google.com/?cid=8869456751823150179
23,23,ChIJS6te1Has0kwRqH3GImmYghM,Reflections Training Studio,44.2502555,-76.5322067,5.0,https://maps.google.com/?cid=1405853611015437736
24,24,ChIJ___PPqKr0kwRYDFLLPBSjMk,Whipped Fitness,44.240907,-76.504451,5.0,https://maps.google.com/?cid=14523074089851760992
26,26,ChIJIYUv-NKt0kwRv_kpaDnCjX8,Energetics Health & Fitness,44.2725822,-76.56751419999998,5.0,https://maps.google.com/?cid=9191215966349556159
27,27,ChIJ4cjJvnmr0kwRSp3oCM8xy3I,kingston table tennis club,44.234312599999996,-76.5235335,0.0,https://maps.google.com/?cid=8271759905873501514
30,30,ChIJT7m6zu6r0kwRuvZ1o0MHcNE,CrossFit Limestone,44.26002709999999,-76.5038572,4.7,https://maps.google.com/?cid=15091570338405152442
31,31,ChIJ4WVQfrSt0kwR4Ea7tz6yMX4,Kingston Norwest Club,44.257855299999996,-76.5748478,4.5,https://maps.google.com/?cid=9093245105077962464
37,37,ChIJbyXKZNSt0kwRtZrlAfRwwaQ,613 Fitness,44.249084499999995,-76.5733156,0.0,https://maps.google.com/?cid=11871894286031493813
38,38,ChIJof4l81Ss0kwREU6ytM6qZns,YMCA West,44.2464203,-76.5745732,4.2,https://maps.google.com/?cid=8891982319061192209
39,39,ChIJ7z83XTWs0kwR0gOx0ptErkg,Kwik Fit Kingston,44.2621005,-76.56819279999998,5.0,https://maps.google.com/?cid=5237198852723901394
