,Unnamed: 0,ID,Name,latitude,longitude,Rating,Url
0,0,ChIJE6T9daqr0kwRa9rjmucs6cw,Econo Dry Cleaning & Laundry,44.2334255,-76.48968029999999,4.2,https://maps.google.com/?cid=14765382226558573163
1,1,ChIJ7_ujnIGr0kwReRmbQeGpyxY,Surf's Up! Laundry And Dry Cleaning,44.2404877,-76.5249825,3.8,https://maps.google.com/?cid=1642593274040097145
2,2,ChIJJzzX6AfBVkARLX5efTU_BiU,Kingston Coin Laundry & Dry Cleaning Centre,44.2570695,-76.55638739999998,4.6,https://maps.google.com/?cid=2667889328232758829
3,3,ChIJnYWs7-ar0kwRuBJX7XCTStY,Kingslake Coin Laundry & Dry Cleaning,44.2650481,-76.4971285,4.6,https://maps.google.com/?cid=15441316385620693688
4,4,ChIJq0Xvz4ms0kwRkTRqPJGLiSA,Frontenac Mall Coin Laundry,44.239965500000004,-76.54552319999998,4.7,https://maps.google.com/?cid=2344558536923165841
6,6,ChIJ85X9V6Sr0kwRdYBo2aaZc6w,Concession Coin Laundry & Dry Cleaning,44.2414585,-76.4975783,3.3,https://maps.google.com/?cid=12426444738736455797
7,7,ChIJ97UIsc6t0kwRhtXLmINxrXU,Cataraqui Coin Laundry And Drycleaning Depot,44.260104999999996,-76.582188,3.5,https://maps.google.com/?cid=8479558483426661766
8,8,ChIJBf1wff-q0kwRUIC9PtO7PGA,Hillary Dry Cleaning,44.2326611,-76.4823672,3.0,https://maps.google.com/?cid=6934624042208821328
10,10,ChIJrdoC4nOt0kwRMfTlQuTOTgA,Rainbow Laundromat,44.2419355,-76.60922,2.7,https://maps.google.com/?cid=22182527953663025
27,27,ChIJI2wxkvur0kwR21s8EbJ0Auc,King Kleen,44.262101,-76.56819300000001,4.4,https://maps.google.com/?cid=16645995480856943579
30,30,ChIJpxhVCf6q0kwRbsay7s3Be3E,Coin Laundry,44.22873010000001,-76.48654010000001,2.3,https://maps.google.com/?cid=8177342638638417518
